"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"GRADY",9309,12061,0.771826548379073,3013,9201,0.327464406042821,6053,0.657863275730899
"GREENE",8987,10895,0.824873795318954,3199,8840,0.361877828054299,5490,0.6210407239819
"GWINNETT",332149,430935,0.770763572232471,166153,325636,0.510241496640421,146989,0.45139050964881
"HABERSHAM",16379,20380,0.803680078508341,2483,16134,0.153898599231437,13190,0.817528201313995
"HALL",71383,90807,0.786095785567192,16180,70220,0.230418684135574,51733,0.736727428083167
"HANCOCK",3604,5407,0.666543369705937,2701,3580,0.754469273743017,843,0.235474860335195
"HARALSON",11482,14488,0.792517945886251,1475,11324,0.1302543270929,9585,0.84643235605793
"HARRIS",16667,20235,0.823671855695577,4086,16401,0.249131150539601,11936,0.72776050240839
"HART",10209,12862,0.793733478463691,2585,10080,0.256448412698413,7286,0.72281746031746
"HEARD",4258,5555,0.766516651665167,743,4206,0.176652401331431,3370,0.801236329053733
"HENRY",99666,125837,0.792024603256594,50057,98286,0.509299391571536,45724,0.465213763913477
"HOUSTON",60565,79199,0.764719251505701,22553,59744,0.377493974290305,35430,0.593030262453133
"IRWIN",3693,4963,0.744106387265767,891,3665,0.243110504774898,2716,0.74106412005457
"JACKSON",27491,33719,0.81529701355319,4491,27109,0.165664539451843,21784,0.80357076985503
"JASPER",6082,7671,0.792856211706427,1544,6023,0.256350655819359,4360,0.72389174829819
"JEFF DAVIS",5130,6784,0.756191037735849,901,5091,0.176978982518169,4104,0.80612846199175
"JEFFERSON",7007,9256,0.757022471910112,3821,6954,0.549467932125395,3063,0.4404659188956
"JENKINS",3082,4258,0.723813997181775,1123,3052,0.367955439056356,1895,0.620904325032765
"JOHNSON",3711,4702,0.789238621863037,1136,3682,0.308527973927213,2519,0.684139054861488
"JONES",12647,15398,0.821340433822574,3961,12526,0.316222257703976,8305,0.663020916493693
"LAMAR",7671,9786,0.783874923359902,2270,7586,0.299235433693646,5190,0.684155022409702
"LANIER",2897,4104,0.705896686159844,806,2863,0.281522878099895,1984,0.692979392245896
"LAURENS",19685,25051,0.785796974172688,6752,19476,0.346683097145204,12411,0.63724584103512
"LEE",14290,17841,0.800964071520655,3170,14115,0.22458377612469,10646,0.754233085370174
"LIBERTY",16356,24858,0.657977311127203,9556,16117,0.592914314078302,6134,0.380591921573494
"LINCOLN",4144,5949,0.696587661791898,1273,4102,0.310336421257923,2759,0.672598732325695
"LONG",4158,6052,0.687045604758757,1360,4117,0.330337624483847,2626,0.63784308962837
