county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Crisp,7586,10228,0.74168947985921,2837,7512,0.37766240681576096,4549,0.605564430244941,0,12560,0.0,0,0,0.0,0,0.0
Dade,6402,8588,0.7454587796925941,965,6242,0.15459788529317497,5051,0.8091957705863511,0,11682,0.0,0,0,0.0,0,0.0
Dawson,11860,14591,0.812829826605442,1448,11704,0.123718386876282,9900,0.845864661654135,0,21557,0.0,0,0,0.0,0,0.0
Decatur,10355,13821,0.7492221981043342,4124,10270,0.40155793573515103,6020,0.586173320350536,0,16726,0.0,0,0,0.0,0,0.0
DeKalb,319285,419871,0.760435943420717,251370,312504,0.804373704016589,51468,0.164695491897704,0,547802,0.0,0,0,0.0,0,0.0
Dodge,7062,11169,0.6322857910287399,1839,6998,0.262789368390969,5021,0.717490711631895,0,11464,0.0,0,0,0.0,0,0.0
Dooly,3888,5295,0.7342776203966009,1872,3859,0.48509976677895794,1951,0.5055713915522161,0,5966,0.0,0,0,0.0,0,0.0
Dougherty,34446,49074,0.701919550067245,23311,34018,0.6852548650714331,10232,0.300781938973485,0,61402,0.0,0,0,0.0,0,0.0
Douglas,58300,74636,0.7811243903746179,31005,57416,0.54000627002926,24817,0.43223143374669104,0,101613,0.0,0,0,0.0,0,0.0
Early,4832,6471,0.7467161180652142,2168,4785,0.453082549634274,2552,0.5333333333333329,0,7340,0.0,0,0,0.0,0,0.0
Echols,1184,1579,0.7498416719442691,156,1176,0.13265306122449003,1007,0.856292517006803,0,2170,0.0,0,0,0.0,0,0.0
Effingham,23682,30029,0.7886376502714041,4853,23406,0.207339998291036,17874,0.7636503460651121,0,44372,0.0,0,0,0.0,0,0.0
Elbert,8073,10200,0.791470588235294,2539,7970,0.318569636135508,5292,0.6639899623588461,0,12330,0.0,0,0,0.0,0,0.0
Emanuel,7938,10534,0.7535599012720708,2435,7845,0.310388782664117,5335,0.680050987890376,0,13844,0.0,0,0,0.0,0,0.0
Evans,3659,4684,0.7811699402220319,1130,3602,0.313714602998334,2404,0.66740699611327,0,6148,0.0,0,0,0.0,0,0.0
Fannin,11937,14684,0.812925633342413,1923,11777,0.163284367835612,9632,0.817865330729388,0,20399,0.0,0,0,0.0,0,0.0
Fayette,61766,73831,0.8365862578049872,23284,60435,0.3852734342682221,35048,0.579928849176802,0,92427,0.0,0,0,0.0,0,0.0
Floyd,35017,45654,0.767008367284356,9159,34357,0.266583229036295,24114,0.701865704223302,0,60749,0.0,0,0,0.0,0,0.0
Forsyth,99323,119848,0.828741405780655,23462,97404,0.24087306476120104,69851,0.717126606710197,0,164279,0.0,0,0,0.0,0,0.0
Franklin,8584,13086,0.655968210301085,1243,8474,0.14668397451026702,7054,0.8324286051451499,0,15170,0.0,0,0,0.0,0,0.0
Fulton,441262,590362,0.747443094237095,297051,430599,0.689855294601241,117783,0.273532915775466,0,808742,0.0,0,0,0.0,0,0.0
Gilmer,12896,15748,0.8188976377952759,1965,12735,0.154299175500589,10477,0.822693364742835,0,22315,0.0,0,0,0.0,0,0.0
Glascock,1403,1733,0.809578765147144,138,1390,0.09928057553956801,1235,0.8884892086330931,0,2040,0.0,0,0,0.0,0,0.0
Glynn,34583,44972,0.76898959352486,11775,34112,0.345186444652908,21512,0.63062851782364,0,61947,0.0,0,0,0.0,0,0.0
Gordon,19129,24934,0.76718536937515,3181,18879,0.16849409396684098,15191,0.804650670056677,0,36431,0.0,0,0,0.0,0,0.0
Grady,9309,12061,0.7718265483790729,3013,9201,0.327464406042821,6053,0.6578632757308989,0,15441,0.0,0,0,0.0,0,0.0
Greene,8987,10895,0.8248737953189541,3199,8840,0.36187782805429897,5490,0.6210407239819,0,14197,0.0,0,0,0.0,0,0.0
Gwinnett,332149,430935,0.7707635722324709,166153,325636,0.510241496640421,146989,0.45139050964881006,0,582917,0.0,0,0,0.0,0,0.0
Habersham,16379,20380,0.803680078508341,2483,16134,0.15389859923143698,13190,0.817528201313995,0,28318,0.0,0,0,0.0,0,0.0
Hall,71383,90807,0.786095785567192,16180,70220,0.23041868413557398,51733,0.7367274280831669,0,128535,0.0,0,0,0.0,0,0.0
Hancock,3604,5407,0.666543369705937,2701,3580,0.754469273743017,843,0.235474860335195,0,5835,0.0,0,0,0.0,0,0.0
Haralson,11482,14488,0.792517945886251,1475,11324,0.1302543270929,9585,0.84643235605793,0,20692,0.0,0,0,0.0,0,0.0
Harris,16667,20235,0.823671855695577,4086,16401,0.249131150539601,11936,0.7277605024083901,0,25690,0.0,0,0,0.0,0,0.0
Hart,10209,12862,0.7937334784636909,2585,10080,0.256448412698413,7286,0.72281746031746,0,16942,0.0,0,0,0.0,0,0.0
Heard,4258,5555,0.766516651665167,743,4206,0.17665240133143104,3370,0.8012363290537329,0,7772,0.0,0,0,0.0,0,0.0
Henry,99666,125837,0.7920246032565941,50057,98286,0.509299391571536,45724,0.4652137639134771,0,172241,0.0,0,0,0.0,0,0.0
Houston,60565,79199,0.764719251505701,22553,59744,0.377493974290305,35430,0.593030262453133,0,105587,0.0,0,0,0.0,0,0.0
Irwin,3693,4963,0.7441063872657672,891,3665,0.24311050477489798,2716,0.74106412005457,0,6124,0.0,0,0,0.0,0,0.0
Jackson,27491,33719,0.81529701355319,4491,27109,0.165664539451843,21784,0.8035707698550301,0,52010,0.0,0,0,0.0,0,0.0
Jasper,6082,7671,0.7928562117064271,1544,6023,0.25635065581935895,4360,0.7238917482981899,0,10434,0.0,0,0,0.0,0,0.0
Jeff Davis,5130,6784,0.7561910377358492,901,5091,0.176978982518169,4104,0.80612846199175,0,8495,0.0,0,0,0.0,0,0.0
Jefferson,7007,9256,0.7570224719101121,3821,6954,0.549467932125395,3063,0.4404659188956,0,11350,0.0,0,0,0.0,0,0.0
Jenkins,3082,4258,0.723813997181775,1123,3052,0.367955439056356,1895,0.620904325032765,0,5075,0.0,0,0,0.0,0,0.0
Johnson,3711,4702,0.7892386218630371,1136,3682,0.30852797392721304,2519,0.6841390548614878,0,5610,0.0,0,0,0.0,0,0.0
Jones,12647,15398,0.8213404338225742,3961,12526,0.316222257703976,8305,0.663020916493693,0,20406,0.0,0,0,0.0,0,0.0
Lamar,7671,9786,0.7838749233599019,2270,7586,0.299235433693646,5190,0.684155022409702,0,12872,0.0,0,0,0.0,0,0.0
Lanier,2897,4104,0.7058966861598441,806,2863,0.281522878099895,1984,0.692979392245896,0,5496,0.0,0,0,0.0,0,0.0
Laurens,19685,25051,0.785796974172688,6752,19476,0.34668309714520396,12411,0.6372458410351199,0,32874,0.0,0,0,0.0,0,0.0
Lee,14290,17841,0.800964071520655,3170,14115,0.22458377612469,10646,0.7542330853701741,0,22930,0.0,0,0,0.0,0,0.0
Liberty,16356,24858,0.657977311127203,9556,16117,0.592914314078302,6134,0.3805919215734939,0,35970,0.0,0,0,0.0,0,0.0
Lincoln,4144,5949,0.696587661791898,1273,4102,0.31033642125792305,2759,0.672598732325695,0,6182,0.0,0,0,0.0,0,0.0
Long,4158,6052,0.6870456047587571,1360,4117,0.33033762448384696,2626,0.63784308962837,0,9683,0.0,0,0,0.0,0,0.0
Lowndes,38204,53910,0.708662585791133,15064,37628,0.400340172212182,21635,0.574970766450516,0,75535,0.0,0,0,0.0,0,0.0
Lumpkin,12560,15618,0.8042002817262129,2220,12334,0.179990270796173,9619,0.779876763418194,0,22412,0.0,0,0,0.0,0,0.0
Macon,4321,6012,0.7187292082501658,2705,4287,0.63097737345463,1540,0.35922556566363395,0,7079,0.0,0,0,0.0,0,0.0
Madison,12114,15118,0.8012964677867441,2425,11954,0.202860967040321,9201,0.7697005186548441,0,20737,0.0,0,0,0.0,0,0.0
Marion,3215,4224,0.761126893939394,1213,3183,0.381087024819353,1921,0.603518693056865,0,4922,0.0,0,0,0.0,0,0.0
McDuffie,9355,11967,0.7817330993565641,3699,9268,0.399115235217954,5432,0.586102719033233,0,15083,0.0,0,0,0.0,0,0.0
