county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Terrell,4233,5871,0.7210015329586101,2267,4181,0.5422147811528343,1874,0.4482181296340588
Thomas,18986,24693,0.7688818693556878,7142,18738,0.38115060305262033,11228,0.5992101611698154
Tift,14334,19040,0.7528361344537815,4347,14175,0.30666666666666664,9584,0.6761199294532628
Toombs,9206,15146,0.6078172454773537,2338,9111,0.25661288552299416,6615,0.7260454395785314
Towns,6858,8608,0.7967007434944238,1210,6739,0.1795518622941089,5383,0.7987832022555276
Treutlen,2729,3773,0.7232971110522131,862,2703,0.3189049204587495,1809,0.6692563817980022
Troup,26334,35513,0.7415312702390674,9713,26024,0.37323240086074394,15750,0.6052105748539809
Turner,3414,4552,0.75,1246,3394,0.3671184443134944,2095,0.617265763111373
Twiggs,4089,5291,0.7728217728217728,1971,4056,0.4859467455621302,2035,0.5017258382642998
Union,12230,14370,0.8510786360473208,1963,12044,0.16298571903022252,9852,0.8180006642311525
Upson,11032,14058,0.7847488974249538,3475,10934,0.31781598683007134,7292,0.6669105542344979
Walker,24526,32951,0.7443173196564596,4215,23956,0.175947570546001,18950,0.7910335615294707
Walton,40986,51318,0.7986671343388285,8292,40472,0.20488238782368057,31125,0.7690502075508994
Ware,12282,16254,0.7556293835363603,3440,12159,0.282918003125257,8513,0.7001398141294515
Warren,2357,3105,0.759098228663446,1314,2333,0.5632233176168024,991,0.42477496785255037
Washington,8531,11002,0.7754044719141974,4200,8447,0.4972179472001894,4149,0.49118030069847285
Wayne,10489,13496,0.7771932424422051,2041,10386,0.19651453880223377,8153,0.784999037165415
Webster,1124,1433,0.7843684577808793,473,1116,0.42383512544802865,630,0.5645161290322581
Wheeler,2135,2705,0.789279112754159,646,2102,0.3073263558515699,1421,0.6760228353948621
White,11964,14669,0.8155975185765901,1674,11783,0.1420690825765934,9761,0.8283968429092761
Whitfield,30877,39588,0.7799585733050419,7937,30398,0.2611027041252714,21537,0.7085005592473189
Wilcox,3003,3934,0.7633451957295374,852,2973,0.2865792129162462,2096,0.7050117726202489
Wilkes,4520,5826,0.7758324751115688,1848,4477,0.41277641277641275,2572,0.5744918472191199
Wilkinson,4317,5481,0.7876299945265463,1894,4278,0.4427302477793361,2333,0.5453482935951379
Worth,8349,10724,0.7785341290563222,2020,8280,0.24396135265700483,6152,0.7429951690821256
STATEWIDE,4165405,5443046,0.765270953065618,1877963,4092373,0.4588934097649457,2089104,0.5104871916611706
