county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Seneca,0.0,34413.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelby,0.0,32843.0,0.0,0.0,0.0,0.0,0.0,0.0
Stark,0.0,252972.0,0.0,0.0,0.0,0.0,0.0,0.0
Summit,0.0,379673.0,0.0,0.0,0.0,0.0,0.0,0.0
Trumbull,0.0,136895.0,0.0,33148.0,58732.0,0.5643941973711094,24969.0,0.4251345092964653
Tuscarawas,0.0,59638.0,0.0,0.0,0.0,0.0,0.0,0.0
Union,0.0,41432.0,0.0,9247.0,23940.0,0.38625730994152047,14293.0,0.5970342522974101
Van Wert,0.0,20291.0,0.0,0.0,0.0,0.0,0.0,0.0
Vinton,0.0,8627.0,0.0,0.0,0.0,0.0,0.0,0.0
Warren,0.0,167606.0,0.0,36944.0,88884.0,0.4156428603573197,50860.0,0.5722064713559246
Washington,0.0,42774.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayne,0.0,74470.0,0.0,0.0,0.0,0.0,0.0,0.0
Williams,0.0,25515.0,0.0,1743.0,6982.0,0.24964193640790605,5143.0,0.7366084216556861
Wood,0.0,93149.0,0.0,22483.0,40012.0,0.5619064280715785,16952.0,0.4236728981305608
Wyandot,0.0,15491.0,0.0,0.0,0.0,0.0,0.0,0.0
STATEWIDE,0.0,8073829.0,0.0,1068602.0,1788023.0,0.5976444374596971,698736.0,0.39078691940763627
