county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Fairfield,74225,100115,0.741397392998052,24881,72565,0.342878798318749,44314,0.61068007992834,54802,109176,0.5019601377592144,24117,54802,0.4400751797379658,30013,0.5476624940695595
Fayette,11325,16247,0.6970517634024739,2739,11136,0.245959051724138,7995,0.7179418103448281,7126,17180,0.4147846332945285,2140,7126,0.3003087285994948,4916,0.6898680886893067
Franklin,593435,843481,0.703554674023481,351198,578226,0.6073715121769001,199331,0.344728531750561,341029,882635,0.3863760217983651,260096,341029,0.7626800066856484,77152,0.2262329596603221
Fulton,21602,29058,0.743409732259619,6069,21108,0.287521318931211,13709,0.649469395489862,12599,29496,0.4271426634119881,4717,12599,0.3743947932375585,7718,0.6125883006587824
Gallia,13250,18831,0.703626998035155,2628,12916,0.203468566119542,9822,0.760452152369155,8145,18982,0.4290907175218629,2165,8145,0.2658072437077962,5895,0.7237569060773481
Geauga,51580,64856,0.7953003577155541,17569,49859,0.35237369381656297,30227,0.606249623939509,33906,67969,0.4988450617193132,16468,33906,0.4856957470654161,17103,0.504423995752964
Greene,83701,114521,0.7308790527501509,28943,81742,0.354077463237993,48540,0.593819578674366,52503,118938,0.4414316702819957,25962,52503,0.4944860293697503,25730,0.4900672342532808
Guernsey,16852,24186,0.696766724551393,4359,16536,0.263606676342525,11445,0.692126269956459,10528,24549,0.42885657256914733,3376,10528,0.3206686930091185,7031,0.6678381458966566
Hamilton,417456,580341,0.7193288084074709,215719,407518,0.529348396880629,173665,0.42615295520688706,0,600386,0.0,0,0,0.0,0,0.0
Hancock,36571,50411,0.7254567455515659,9609,35863,0.267936313191869,24183,0.674316147561554,23105,51714,0.44678423637699655,8769,23105,0.37952824064055396,14008,0.6062756979008872
Hardin,12516,18035,0.693983920155254,2920,12261,0.238153494820977,8717,0.7109534295734441,7550,18211,0.4145845917302729,2284,7550,0.30251655629139074,5158,0.6831788079470199
Harrison,7231,10056,0.719073190135243,1688,7067,0.23885665770482503,5098,0.721381066930805,0,10205,0.0,0,0,0.0,0,0.0
Henry,14216,19315,0.7360082837173181,3756,13926,0.269711331322706,9301,0.667887404854229,8987,19710,0.4559614408929478,3088,8987,0.3436074329587181,5793,0.6445977523088906
Highland,18769,27621,0.679519206400927,3773,18461,0.204376794323168,14020,0.7594388169654951,0,27351,0.0,0,0,0.0,0,0.0
Hocking,13103,18444,0.710420733029712,3775,12811,0.294668644133947,8497,0.663258137538053,9488,18645,0.5088763743631001,3164,9488,0.33347386172006743,6197,0.6531408094435076
