"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"Terrell",438,700,0.625714285714286,140,438,0.319634703196347,288,0.657534246575342
"Terry",3355,6998,0.479422692197771,753,3345,0.225112107623318,2459,0.735127055306428
"Throckmorton",808,1229,0.657445077298617,84,808,0.103960396039604,715,0.88490099009901
"Titus",9419,16605,0.567238783498946,2597,9343,0.277962110671091,6511,0.696885368725249
"Tom Green",38479,64471,0.596841990972685,9173,38287,0.239585237809178,27494,0.718102750280774
"Travis",468720,725035,0.646479135490011,308260,464889,0.663083015515532,127209,0.273633060795157
"Trinity",5985,11580,0.516839378238342,1154,5982,0.192912069541959,4737,0.791875626880642
"Tyler",8016,13559,0.59119404085847,1248,7997,0.15605852194573,6624,0.82831061648118
"Upshur",16013,27915,0.573634246820706,2380,15931,0.149394262758145,13209,0.829138158307702
"Upton",1347,2245,0.6,286,1345,0.212639405204461,1007,0.748698884758364
"Uvalde",8964,16843,0.532209226384848,3867,8947,0.432211914608249,4835,0.540404604895496
"Val Verde",13617,27690,0.491765980498375,6964,13558,0.513645080395339,5890,0.434429856911049
"Van Zandt",21890,36123,0.605985106441879,2799,21734,0.128784393116776,18473,0.849958590227294
"Victoria",31123,54466,0.57142070282378,8866,31079,0.285273013932237,21275,0.68454583480807
"Walker",19796,32523,0.608676936321988,6091,19696,0.309250609260764,12884,0.654142973192526
"Waller",16784,31132,0.539123731209045,5748,16725,0.343677130044843,10531,0.62965620328849
"Ward",3445,6476,0.531964175416924,783,3422,0.228813559322034,2547,0.744301578024547
"Washington",14828,22951,0.64607206657662,3382,14749,0.229303681605533,10945,0.742084209098922
"Webb",56905,123291,0.461550315919248,42307,56878,0.743820106192201,12947,0.227627553711453
"Wharton",14732,25206,0.584464016504007,4238,14707,0.288162099680424,10149,0.6900795539539
"Wheeler",2306,3527,0.653813439183442,194,2306,0.084128360797919,2087,0.905030355594102
"Wichita",38119,78618,0.484863517260678,8770,37965,0.231002238904254,27631,0.727801922823653
"Wilbarger",4105,8071,0.508611076694338,809,4103,0.197172800389959,3166,0.77163051425786
"Willacy",5095,12306,0.414025678530798,3422,5095,0.671638861629048,1547,0.303631010794897
"Williamson",203081,299958,0.677031451069816,84468,200919,0.420408224209756,104175,0.518492526839174
"Wilson",19432,31245,0.621923507761242,4790,19262,0.24867614993251,13998,0.726715813518845
"Winkler",1876,3817,0.491485459785172,420,1873,0.224239188467699,1403,0.749065670048051
"Wise",24776,39092,0.633786964084723,3412,24678,0.138260799092309,20670,0.837588135181133
"Wood",18727,29127,0.642942973873039,2630,18674,0.140837528113955,15700,0.840741137410303
"Yoakum",2303,4170,0.552278177458034,426,2299,0.185297955632884,1797,0.781644193127447
"Young",7707,11762,0.655245706512498,876,7676,0.11412193850964,6601,0.859953100573215
"Zapata",3142,7645,0.410987573577502,2063,3142,0.656588160407384,1029,0.327498408656906
"Zavala",3396,8615,0.394196169471851,2636,3396,0.776207302709069,694,0.204358068315665
"STATEWIDE",8969226,15101087,0.59394572059614,3877868,8917965,0.434837768481935,4685047,0.52534933698439
