county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Erie,123679,190222,0.650182418437405,58112,123679,0.46986149629282303,60069,0.48568471607952796,134499,202684,0.6635896272029366,66966,134499,0.4978921776370085,65647,0.4880854132744482
Fayette,53767,83852,0.641213089729523,17946,53767,0.33377350419402196,34590,0.643331411460561,59710,82389,0.7247326706235055,19381,59710,0.32458549656673924,39887,0.6680120582816949
Forest,2401,3330,0.7210210210210211,626,2401,0.260724698042482,1683,0.700957934194086,2613,3508,0.7448688711516533,715,2613,0.2736318407960199,1864,0.7133562954458477
Franklin,69731,93018,0.749650605259197,17465,69731,0.250462491574766,49768,0.7137141300139108,79648,100996,0.7886252920907759,21994,79648,0.27614001607071115,56565,0.7101873242265971
Fulton,6771,9187,0.737019701752476,912,6771,0.134692069118299,5694,0.840939299955693,7793,9837,0.7922130730913897,1068,7793,0.13704606698319005,6660,0.8546131143333761
Greene,15764,22590,0.6978308986277111,4482,15764,0.284318700837351,10849,0.6882136513575229,15424,22813,0.6761057291894972,3631,15424,0.23541234439834025,11637,0.7544735477178424
Huntingdon,19706,29781,0.6616970551694029,4539,19706,0.23033593829290602,14494,0.7355120267938701,22606,28426,0.795257862520228,5389,22606,0.23838803857382995,16937,0.7492258692382553
Indiana,37770,51853,0.728405299596937,11528,37770,0.305215779719354,24888,0.6589356632247819,40773,51795,0.7871995366348103,12475,40773,0.3059622789591151,27832,0.6826085890172418
Jefferson,19478,29926,0.6508721513065561,3650,19478,0.18739090255673102,15192,0.779956874422425,22761,32032,0.7105706793206793,4498,22761,0.1976187337990422,17928,0.7876631079478055
Juniata,10454,13840,0.755346820809249,1821,10454,0.174191696958102,8273,0.7913717237421078,12031,14487,0.8304686960723408,2252,12031,0.18718311029839585,9638,0.8010971656553902
Lackawanna,103456,148104,0.698536163776805,51983,103456,0.5024648159604079,48384,0.46767708011135206,113464,149406,0.7594340254072794,61001,113464,0.5376242684904463,51396,0.4529718677289713
Lancaster,241112,335791,0.7180418772391159,91093,241112,0.377803676299811,137914,0.571991439662895,273527,354183,0.7722759138637371,112536,273527,0.4114255631071156,156938,0.5737568868886801
Lawrence,40753,57049,0.71435082122386,14009,40753,0.343753834073565,25428,0.623954064731431,45110,57453,0.7851635249682349,15557,45110,0.3448681001995123,29071,0.6444469075592995
Lebanon,61845,86878,0.711860309859803,18953,61845,0.306459697631175,40525,0.6552672002587111,70002,92642,0.7556184020206818,23263,70002,0.3323190765978115,45781,0.6539956001257107
Lehigh,160993,236081,0.681939673247741,81324,160993,0.50513997502997,73690,0.4577217643003111,167237,249418,0.6705089448235492,87360,167237,0.5223724415051693,77976,0.466260456717114
Luzerne,134983,205332,0.6573890090195389,52451,134983,0.38857485757465793,78688,0.582947482275546,149103,220886,0.6750224097498257,62983,149103,0.4224126945802566,84649,0.567721642086343
Lycoming,50565,69764,0.724800756837337,13020,50565,0.257490358943934,35627,0.704578265598734,58406,73763,0.7918061900953053,16718,58406,0.2862377153032223,40878,0.6998938465226175
Mercer,52309,77265,0.677007700770077,18733,52309,0.358121929304709,31544,0.603031983023954,54719,74909,0.7304729738749683,19399,54719,0.3545203676967781,34637,0.6329976790511522
Mifflin,18601,25933,0.717271430224039,3877,18601,0.20842965431965998,14094,0.7577011988602759,21317,27361,0.7791016410218925,4560,21317,0.2139137777360792,16532,0.7755312661256274
Monroe,69752,109247,0.638479775188335,33918,69752,0.486265626792063,33386,0.47863860534465,80398,118311,0.6795479710255174,42102,80398,0.5236697430284335,37297,0.4639045747406652
Montgomery,434687,577418,0.752811654641871,256082,434687,0.589118147080543,162731,0.374363622560601,501561,609137,0.8233960504779713,313543,501561,0.6251343306198051,182907,0.36467548314163184
Montour,8556,13098,0.6532295006871279,2857,8556,0.333917718560075,5288,0.618045815801777,9693,14013,0.6917148362235067,3746,9693,0.3864644588878573,5791,0.597441452594656
McKean,16296,24911,0.654168841074224,4025,16296,0.24699312714776603,11635,0.7139788905252821,19195,25850,0.7425531914893617,5024,19195,0.26173482677780674,13892,0.7237301380567857
Northampton,143519,211402,0.6788914012166389,66272,143519,0.46176464440248294,71736,0.49983625861384207,167529,227378,0.7367863205763091,83163,167529,0.4964095768493813,82416,0.491950647350608
Northumberland,36622,56496,0.6482228830359671,9788,36622,0.26727103926601503,25427,0.6943094314892689,41464,57618,0.719636224790864,12414,41464,0.29939224387420416,28412,0.6852209145282655
Perry,21158,28727,0.736519650503011,4632,21158,0.21892428395878602,15616,0.738065979771245,23980,30027,0.7986145802111433,5704,23980,0.23786488740617184,17879,0.7455796497080901
Philadelphia,707631,1102560,0.641807248585111,584025,707631,0.825324215586937,108748,0.153678965449507,632890,1129425,0.5603647873918144,509491,632890,0.8050229897770544,119287,0.1884798306182749
Pike,26101,40087,0.6511088382767479,9256,26101,0.354622428259454,16056,0.615148844871844,32117,44668,0.7190158502731262,12845,32117,0.3999439549148426,18951,0.590061338232089
Potter,7784,11005,0.707314856883235,1302,7784,0.16726618705036,6251,0.8030575539568341,8901,11310,0.7870026525198939,1686,8901,0.1894169194472531,7117,0.7995730816762161
Schuylkill,62869,87989,0.7145097682664878,16770,62869,0.266745136712847,44001,0.699883885539773,69522,90423,0.7688530572973691,20425,69522,0.293791893213659,48100,0.6918673225741492
Snyder,16363,22264,0.7349532878189,4002,16363,0.24457617796247602,11725,0.7165556438305931,18904,23700,0.7976371308016877,4848,18904,0.25645366060093105,13816,0.7308506136267456
Somerset,35773,49693,0.7198800635904449,7376,35773,0.20618902524250102,27379,0.7653537584211558,40062,49279,0.8129629253840378,8543,40062,0.21324447106984173,31105,0.7764215466027657
Sullivan,3136,4404,0.712079927338783,750,3136,0.239158163265306,2291,0.730548469387755,3550,4329,0.8200508200508201,902,3550,0.2540845070422535,2595,0.7309859154929578
Susquehanna,18863,26373,0.7152390702612521,5123,18863,0.271589884959975,12891,0.683401367756985,21264,27212,0.7814199617815669,6084,21264,0.28611738148984195,14879,0.6997272385252069
Tioga,18325,26592,0.6891170276774972,3901,18325,0.21287858117326103,13614,0.742919508867667,20762,26916,0.7713627582107296,4883,20762,0.23518928812253154,15503,0.7467007032077835
Union,17468,24669,0.7080951801856579,6180,17468,0.3537897870391571,10622,0.6080833524158461,19781,26256,0.7533897014015845,7314,19781,0.3697487487993529,12188,0.6161468075425913
Venango,23348,32655,0.7149900474659321,6309,23348,0.27021586431385997,16021,0.686182970704129,26127,33299,0.7846181567014024,7475,26127,0.2861024993301948,18286,0.6998890037126344
Warren,18434,30146,0.611490745040801,5145,18434,0.27910382987957,12477,0.676847130302702,20345,31431,0.6472908911584105,5987,20345,0.29427377734086996,14020,0.6891128041287786
Washington,101450,138835,0.730723520726042,36322,101450,0.358028585510104,61386,0.605086249383933,116587,154023,0.756945391272732,44231,116587,0.3793819207973445,71072,0.6096048444509251
Wayne,24018,33683,0.7130600005937711,7008,24018,0.291781164126905,16244,0.676326088766758,27819,35687,0.7795275590551181,9118,27819,0.3277616017829541,18444,0.6630001078399654
Westmoreland,182051,246020,0.7399845541012929,59669,182051,0.32775980357152695,116522,0.640051414164163,198677,253861,0.782621198214771,69110,198677,0.34785103459383826,127316,0.6408190178027653
Wyoming,13144,16865,0.7793655499555291,3811,13144,0.28994217894096197,8837,0.672321972002435,14674,18342,0.8000218078726421,4642,14674,0.3163418290854573,9819,0.6691427013765844
York,205986,295895,0.696145592186417,68524,205986,0.332663384890235,128528,0.623964735467459,232056,311188,0.7457099888170495,85323,232056,0.3676828007032785,143260,0.6173509842451822
STATEWIDE,6115402,8722977,0.701068224758589,2926441,6115402,0.47853616164562895,2970733,0.48577885803746,6599173,9091371,0.7258721484361379,3243442,6599173,0.491492191521574,3279911,0.4970184900441313
