"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"Alcona",6283,,,1732,6179,0.280304256352161,4201,0.679883476290662
"Alger",4595,,,1663,4513,0.368491025925105,2585,0.572789718590738
"Allegan",56574,,,18050,55658,0.324301987135722,34183,0.614161486219411
"Alpena",14875,,,4877,14688,0.332039760348584,9090,0.618872549019608
"Antrim",13812,,,4448,13572,0.327733569112879,8469,0.624005305039788
"Arenac",7827,,,2384,7693,0.309892109710126,4950,0.643442090211881
"Baraga",3556,,,1156,3486,0.331612162937464,2158,0.619047619047619
"Barry",30745,,,9114,30277,0.301020576675364,19202,0.63421078706609
"Bay",53928,,,21642,52934,0.408848755053463,28328,0.535156987947255
"Benzie",10420,,,4108,10221,0.40191762058507,5539,0.541923490852167
"Berrien",73381,,,29495,71882,0.410325255279486,38647,0.537645029353663
"Branch",17932,,,5061,17641,0.286888498384445,11786,0.668102715265575
"Calhoun",59721,,,24157,58801,0.410826346490706,31494,0.535603136001088
"Cass",22954,,,7270,22574,0.322051918135909,14243,0.630947107291574
"Charlevoix",14837,,,5137,14567,0.352646392531063,8674,0.595455481567927
"Cheboygan",13896,,,4302,13650,0.315164835164835,8683,0.636117216117216
"Chippewa",15690,,,5379,15437,0.348448532746,9122,0.590917924467189
"Clare",13588,,,4249,13382,0.317516066357794,8505,0.635555223434464
"Clinton",41404,,,16492,40568,0.406527312167225,21636,0.533326760007888
"Crawford",6955,,,2110,6833,0.308795551002488,4354,0.637201814722669
"Delta",18797,,,6436,18481,0.348249553595585,11121,0.60175315188572
"Dickinson",13359,,,3923,13140,0.29855403348554,8580,0.65296803652968
"Eaton",57126,,,24938,56092,0.444591029023747,27609,0.492209227697354
"Emmet",19239,,,6972,18774,0.371364653243848,10616,0.565462874187706
"Genesee",198853,,,102751,51462,1.99663829621857,84175,1.6356729237107
"Gladwin",12680,,,3794,196143,0.019343030340109,8124,0.041418760802068
"Gogebic",7484,,,2925,12472,0.23452533675433,4018,0.322161642078255
"Gd. Traverse",52440,,,20965,7312,2.867204595186,27413,3.74904266958425
"Gratiot",16713,,,5666,16445,0.344542414107631,9880,0.600790513833992
"Hillsdale",20212,,,4799,19881,0.241386248176651,14095,0.708968361752427
"Houghton",15935,,,6018,15623,0.385201305767138,8475,0.542469436087819
"Huron",16167,,,4579,15911,0.287788322544152,10692,0.671987932876626
"Ingham",133355,,,79110,130735,0.605117221861017,43868,0.335549011358856
"Ionia",27258,,,8352,26791,0.311746482027547,16635,0.620917472285469
"Iosco",13597,,,4345,13351,0.325443786982248,8345,0.625046812972811
"Iron",6038,,,2004,5910,0.339086294416244,3675,0.621827411167513
"Isabella",25797,,,11404,25344,0.449968434343434,12338,0.486821338383838
"Jackson",70701,,,25795,69567,0.3707936234134,39793,0.572009717250996
"Kalamazoo",128233,,,67148,125976,0.533022162951673,51034,0.405108909633581
"Kalkaska",8950,,,2280,8824,0.258386219401632,6116,0.693109700815956
"Kent",313396,,,138683,306621,0.452294526467528,148180,0.483267617025579
"Keweenaw",1465,,,527,1429,0.368789363191043,814,0.56962911126662
"Lake",5448,,,1939,5328,0.363926426426426,3159,0.592905405405405
"Lapeer",45803,,,12734,45126,0.282187652351194,30037,0.665625138501086
"Leelanau",15047,,,6774,14757,0.459036389510063,7239,0.490546859117707
"Lenawee",46630,,,16750,45897,0.364947600061006,26430,0.575854631021635
"Livingston",107147,,,34384,105604,0.325593727510322,65680,0.621946138403848
"Luce",2624,,,681,2576,0.264363354037267,1756,0.68167701863354
"Mackinac",6237,,,2085,6092,0.342252133946159,3744,0.614576493762311
"Macomb",424679,,,176317,418931,0.420873604483793,224665,0.536281631103929
"Manistee",12819,,,4979,12598,0.395221463724401,6915,0.548896650261946
"Marquette",33501,,,16042,32897,0.48764325014439,14646,0.445207769705444
"Mason",14948,,,5281,14658,0.360281075180789,8505,0.580229226361031
"Mecosta",17392,,,5827,17149,0.339786576476762,10305,0.600909674033471
"Menominee",10914,,,3539,10763,0.328811669608845,6702,0.622688841401096
"Midland",43182,,,15635,42319,0.369455799995274,23846,0.563482123868711
"Missaukee",7441,,,1565,7301,0.214354198055061,5386,0.737707163402274
"Monroe",75319,,,26863,74111,0.362469808800313,43261,0.583732509344092
"Montcalm",26959,,,7874,26556,0.296505497815936,16907,0.636654616659135
"Montmorency",5088,,,1287,5009,0.25693751247754,3498,0.698342982631264
"Muskegon",79278,,,37304,77962,0.478489520535646,36127,0.463392421949155
"Newaygo",22941,,,6212,22604,0.274818616174128,15173,0.671252875597239
"Oakland",678090,,,343070,663435,0.517111698960712,289203,0.435917610617468
"Oceana",12108,,,3973,11903,0.333781399647148,7228,0.607241871797026
"Ogemaw",10588,,,3030,10386,0.291738879260543,6827,0.657327171191989
"Ontonagon",3531,,,1176,3418,0.344060854300761,2066,0.604447045055588
"Osceola",10766,,,2705,10597,0.255260922902708,7336,0.692271397565349
"Oscoda",4365,,,1044,4062,0.257016248153619,2843,0.699901526341704
"Otsego",12742,,,3556,12529,0.283821534041025,8266,0.659749381435071
"Ottawa",144902,,,44973,141905,0.316923293752863,88467,0.623424121771608
"Presque Isle",7376,,,2400,7217,0.332548150200914,4488,0.62186504087571
"Roscommon",13242,,,4287,13036,0.328858545566125,8141,0.624501380791654
"Saginaw",95604,,,44396,94199,0.471300119958811,45469,0.48269089905413
"St. Clair",79143,,,24553,19243,1.27594449929845,49051,2.54903081640077
"St. Joseph",24175,,,7526,4151,1.81305709467598,14884,3.58564201397254
"Sanilac",19520,,,4873,34041,0.143150906260098,13446,0.394994271613642
"Schoolcraft",4232,,,1369,77947,0.017563216031406,2556,0.032791512181354
"Shiawassee",34643,,,12546,23757,0.528096981942164,19230,0.809445637075388
"Tuscola",26144,,,7429,25762,0.288370468131356,17102,0.663845974691406
"Van Buren",33857,,,13258,33213,0.399181043567278,17890,0.538644506669075
"Washtenaw",191473,,,128483,187994,0.683442024745471,50631,0.269322425183782
"Wayne",788459,,,519444,777177,0.668372841707873,228993,0.294647165317553
"Wexford",15494,,,4436,15279,0.290333136985405,10000,0.654493095097847
"STATEWIDE",4874619,7514055,,2268839,4790329,0.473629055540862,2279543,0.475863557596983
," ",,,,,,,
,,,,,,,,
," ",,,,,,,
