county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Eaton,57126,81665,0.699516316659524,24938,56092,0.444591029023747,27609,0.49220922769735403,64304,87864,0.7318583265045979,31299,64304,0.486734884299577,31798,0.4944948992286639
Emmet,19239,28547,0.67394121974288,6972,18774,0.37136465324384793,10616,0.565462874187706,22176,30587,0.725013894791905,9662,22176,0.4356962481962482,12135,0.5472132034632035
Genesee,198853,331057,0.600660913377455,102751,196143,0.523857593694396,84175,0.429151180516256,221316,349041,0.6340687770204646,119390,221316,0.5394548970702525,98714,0.4460319181622657
Gladwin,12680,21084,0.601403908176817,3794,12472,0.304201411161001,8124,0.651379089159718,14603,21896,0.6669254658385093,4524,14603,0.3097993562966514,9893,0.6774635348900911
Gogebic,7484,13953,0.536372106357056,2925,7312,0.400027352297593,4018,0.5495076586433261,8266,14320,0.5772346368715083,3570,8266,0.43188966852165495,4600,0.5564964916525527
Grand Traverse,52440,73819,0.7103862149311151,20965,51462,0.407387975593642,27413,0.532684310753566,60227,80921,0.7442691019636436,28683,60227,0.4762481943314461,30502,0.5064505952479785
Gratiot,16713,26463,0.631561047500283,5666,16445,0.3445424141076311,9880,0.6007905138339921,19126,28289,0.6760931810951253,6693,19126,0.3499424866673638,12102,0.6327512286939245
Hillsdale,20212,33922,0.595837509580803,4799,19881,0.241386248176651,14095,0.7089683617524271,23288,36498,0.6380623595813469,5883,23288,0.2526193747852972,17037,0.7315784953624184
Houghton,15935,24944,0.638830981398332,6018,15623,0.3852013057671379,8475,0.542469436087819,18501,26532,0.6973089099954771,7750,18501,0.4188962758769797,10378,0.5609426517485542
Huron,16167,25207,0.641369460864046,4579,15911,0.287788322544152,10692,0.671987932876626,18437,26187,0.7040516286707145,5490,18437,0.29777078700439336,12731,0.6905136410478928
Ingham,133355,203049,0.656762653349684,79110,130735,0.6051172218610171,43868,0.33554901135885606,144505,213783,0.6759424276018206,94212,144505,0.6519635998754368,47639,0.3296702536244421
Ionia,27258,43247,0.6302864938608461,8352,26791,0.311746482027547,16635,0.620917472285469,32205,46868,0.6871426132969191,10901,32205,0.3384878124514827,20657,0.6414221394193448
Iosco,13597,21293,0.6385666651012071,4345,13351,0.32544378698224796,8345,0.6250468129728111,15359,22568,0.6805654023395958,5373,15359,0.34982746272543785,9759,0.6353929292271632
Iron,6038,9680,0.6237603305785121,2004,5910,0.33908629441624394,3675,0.621827411167513,6789,10476,0.6480526918671249,2493,6789,0.3672116659301812,4216,0.6210045662100456
Isabella,25797,43606,0.591592900059625,11404,25344,0.449968434343434,12338,0.48682133838383795,29409,46187,0.6367376101500423,14072,29409,0.478492978339964,14815,0.5037573531912001
Jackson,70701,111923,0.631693217658569,25795,69567,0.37079362341340005,39793,0.572009717250996,80845,122216,0.6614927669044971,31995,80845,0.3957573133774507,47372,0.5859607891644505
Kalamazoo,128233,195448,0.6560977856002621,67148,125976,0.5330221629516729,51034,0.405108909633581,143376,210346,0.6816198073650082,83686,143376,0.5836820667336234,56823,0.3963215600937395
Kalkaska,8950,14720,0.608016304347826,2280,8824,0.258386219401632,6116,0.693109700815956,10630,16003,0.664250453040055,3002,10630,0.2824082784571966,7436,0.6995296331138288
Kent,313396,453052,0.691743994066906,138683,306621,0.452294526467528,148180,0.48326761702557897,360839,499980,0.7217068682747309,187915,360839,0.520772422049723,165741,0.4593211931082837
Keweenaw,1465,1957,0.748594787940726,527,1429,0.368789363191043,814,0.56962911126662,1557,2052,0.7587719298245614,672,1557,0.43159922928709055,862,0.5536287732819525
Lake,5448,9217,0.591081696864489,1939,5328,0.36392642642642603,3159,0.592905405405405,6323,9975,0.6338847117794486,2288,6323,0.3618535505298118,3946,0.6240708524434604
Lapeer,45803,66834,0.685324834664991,12734,45126,0.282187652351194,30037,0.6656251385010861,52640,71977,0.7313447351237201,16367,52640,0.31092325227963524,35482,0.6740501519756839
Leelanau,15047,20127,0.7476027227107871,6774,14757,0.459036389510063,7239,0.490546859117707,16898,21366,0.7908827108490124,8795,16898,0.5204757959521837,7916,0.4684578056574743
Lenawee,46630,73564,0.6338698276330811,16750,45897,0.364947600061006,26430,0.575854631021635,53374,78958,0.6759796347425213,20918,53374,0.3919136658298048,31541,0.5909431558436692
Livingston,107147,145712,0.7353340836719009,34384,105604,0.32559372751032206,65680,0.621946138403848,127166,161087,0.7894243483335093,48220,127166,0.3791894059732948,76982,0.6053662142396553
Luce,2624,4315,0.60811123986095,681,2576,0.264363354037267,1756,0.68167701863354,3001,4556,0.6586918349429324,842,3001,0.2805731422859047,2109,0.7027657447517495
Mackinac,6237,9495,0.6568720379146921,2085,6092,0.34225213394615894,3744,0.614576493762311,7015,10119,0.6932503211779821,2632,7015,0.3751960085531005,4304,0.6135424091233072
Macomb,424679,630577,0.6734768315368311,176317,418931,0.420873604483793,224665,0.536281631103929,494219,692232,0.7139499474164731,223952,494219,0.4531432421659224,263863,0.5338989395389493
Manistee,12819,19720,0.6500507099391479,4979,12598,0.395221463724401,6915,0.548896650261946,14654,20953,0.6993747911993511,6107,14654,0.4167462808789409,8321,0.5678313088576498
Marquette,33501,51204,0.65426529177408,16042,32897,0.48764325014439003,14646,0.44520776970544396,37458,54726,0.6844644227606622,20465,37458,0.5463452400021357,16286,0.43478028725505896
Mason,14948,22833,0.654666491481627,5281,14658,0.360281075180789,8505,0.580229226361031,17249,24704,0.6982270077720207,6802,17249,0.3943417009681721,10207,0.5917444489535625
Mecosta,17392,27742,0.626919472280297,5827,17149,0.33978657647676197,10305,0.6009096740334711,21046,31148,0.6756774110697316,7375,21046,0.3504228832082106,13267,0.6303810700370617
Menominee,10914,19163,0.569535041486197,3539,10763,0.32881166960884495,6702,0.622688841401096,12606,20238,0.6228876371182923,4316,12606,0.34237664604156753,8117,0.6438997302871649
Midland,43182,65519,0.65907599322334,15635,42319,0.369455799995274,23846,0.5634821238687111,49073,69519,0.7058933528963305,20493,49073,0.41760234752307773,27675,0.5639557394086361
Missaukee,7441,10889,0.6833501698962261,1565,7301,0.21435419805506098,5386,0.737707163402274,8754,12040,0.7270764119601328,1967,8754,0.2246972812428604,6648,0.7594242631939685
Monroe,75319,118691,0.634580549494064,26863,74111,0.36246980880031293,43261,0.583732509344092,87148,130456,0.6680260011038205,32975,87148,0.37837930876210585,52710,0.6048331573874328
Montcalm,26959,42907,0.628312396578647,7874,26556,0.29650549781593605,16907,0.636654616659135,32086,47795,0.6713254524531855,9703,32086,0.3024060337842049,21815,0.6798915414822664
Montmorency,5088,7975,0.6379937304075229,1287,5009,0.25693751247754,3498,0.698342982631264,5859,8572,0.6835044330377975,1628,5859,0.277863116572794,4171,0.7118962280252603
Muskegon,79278,128799,0.615517201220506,37304,77962,0.47848952053564603,36127,0.46339242194915503,92435,140862,0.6562096236032429,45643,92435,0.4937848217666469,45133,0.4882674311678477
Newaygo,22941,35833,0.6402199090224101,6212,22604,0.274818616174128,15173,0.671252875597239,27156,39726,0.6835825404017521,7873,27156,0.2899175136249816,18857,0.6943953454116953
Oakland,678090,957357,0.7082937712890799,343070,663435,0.5171116989607121,289203,0.435917610617468,770209,1033085,0.7455427191373409,434148,770209,0.5636755737728331,325971,0.4232240859299229
Oceana,12108,19526,0.62009628188057,3973,11903,0.33378139964714804,7228,0.607241871797026,14062,21190,0.6636149126946673,4944,14062,0.35158583416299244,8892,0.6323424832882947
Ogemaw,10588,16596,0.6379850566401539,3030,10386,0.29173887926054304,6827,0.657327171191989,11907,17848,0.6671335723890632,3475,11907,0.2918451331149744,8253,0.6931216931216931
Ontonagon,3531,5661,0.623741388447271,1176,3418,0.344060854300761,2066,0.604447045055588,3804,5751,0.6614501825769431,1391,3804,0.3656677181913775,2358,0.6198738170347003
Osceola,10766,17350,0.620518731988473,2705,10597,0.255260922902708,7336,0.6922713975653491,12329,18406,0.6698359230685647,3214,12329,0.2606861870386893,8928,0.7241463216805905
