county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Glades,4414,6611,0.667675086976252,1271,4353,0.291982540776476,2996,0.688260969446359,4353,7097,0.6133577567986473,1271,4353,0.291982540776476,2996,0.6882609694463588
Gulf,7375,10210,0.7223310479921651,1720,7293,0.23584258878376502,5329,0.7307006718771429,7293,10829,0.6734693877551021,1720,7293,0.2358425887837653,5329,0.7307006718771425
Hamilton,5530,8086,0.683898095473658,1904,5460,0.3487179487179489,3443,0.6305860805860811,5460,8098,0.6742405532230179,1904,5460,0.3487179487179487,3443,0.6305860805860806
Hardee,7700,11720,0.6569965870307171,2149,7583,0.283397072398787,5242,0.691283133324542,7583,13111,0.5783693082144764,2149,7583,0.28339707239878675,5242,0.6912831333245417
Hendry,11266,17477,0.644618641643303,4615,11115,0.415204678362573,6195,0.557354925775978,11115,19122,0.581267649827424,4615,11115,0.4152046783625731,6195,0.5573549257759784
Hernando,95324,130639,0.7296749056560451,31795,93793,0.33899118271086304,58970,0.6287249581525269,93796,146893,0.6385328095961006,31795,93793,0.3389911827108633,58970,0.6287249581525274
Highlands,46382,61603,0.752917877376102,14937,45686,0.326949174801909,29565,0.647134789651097,45686,66317,0.6889032977969449,14937,45686,0.32694917480190866,29565,0.6471347896510966
Hillsborough,608263,849838,0.7157399410240541,307896,597646,0.515181227683277,266870,0.44653523992463795,597660,934346,0.6396559732690031,307896,597646,0.5151812276832773,266870,0.4465352399246377
Holmes,8622,11230,0.7677649154051651,853,8514,0.100187925769321,7483,0.8789053323937049,8514,11489,0.7410566628949431,853,8514,0.10018792576932113,7483,0.8789053323937045
Indian River,81716,106647,0.766228773430101,29043,80007,0.363005736998013,48620,0.607696826527679,80009,124586,0.6421989629653412,29043,80007,0.3630057369980127,48620,0.6076968265276789
Jackson,21287,28952,0.7352514506769828,6397,21039,0.304054375207947,14257,0.677646275963687,21041,29857,0.7047258599323442,6397,21039,0.30405437520794715,14257,0.6776462759636865
Jefferson,7753,9506,0.815590153587208,3541,7645,0.463178548070634,3930,0.514061478090255,7645,10236,0.7468737788198515,3541,7645,0.4631785480706344,3930,0.514061478090255
Lafayette,3439,4465,0.770212765957447,518,3392,0.152712264150943,2809,0.828125,3392,4568,0.7425569176882661,518,3392,0.15271226415094338,2809,0.828125
Lake,173231,222432,0.7788043087325559,62838,170462,0.36863347842921,102188,0.599476716218277,170462,264691,0.644003762878224,62838,170462,0.36863347842921,102188,0.5994767162182774
Lee,332836,423938,0.785105369181343,124908,326418,0.38266272080583796,191551,0.5868273195718371,326420,489187,0.6672703894420743,124908,326418,0.3826627208058379,191551,0.5868273195718373
Leon,155055,206335,0.751472120580609,92068,152115,0.6052526049370539,53821,0.35381783519048104,152132,217454,0.6996054337928941,92068,152115,0.6052526049370542,53821,0.3538178351904809
Levy,19603,26833,0.7305556590765101,5101,19395,0.26300592936323797,13775,0.7102345965455009,19395,30099,0.6443735672281471,5101,19395,0.263005929363238,13775,0.7102345965455015
Liberty,3349,4497,0.74471870135646,651,3296,0.19751213592233,2543,0.771541262135922,3296,4601,0.7163660073896979,651,3296,0.1975121359223301,2543,0.7715412621359223
Madison,8601,11567,0.743580876631797,3526,8505,0.414579659024103,4851,0.57037037037037,8505,11758,0.7233373022622895,3526,8505,0.4145796590241035,4851,0.5703703703703704
Manatee,182178,231076,0.788389966937285,71224,178954,0.39800172111268795,101944,0.5696659476737039,178958,273427,0.654500104232574,71224,178954,0.39800172111268817,101944,0.5696659476737038
Marion,177168,230841,0.7674893108243341,62041,174698,0.35513285784611204,107833,0.6172537750861489,174700,264614,0.6602069429433061,62041,174698,0.3551328578461116,107833,0.6172537750861486
Martin,87535,110935,0.7890656690854999,30185,85792,0.35183933233868003,53204,0.6201510630361801,85792,118472,0.7241542305354852,30185,85792,0.3518393323386796,53204,0.6201510630361805
Miami-Dade,998605,1379230,0.724030799794088,624146,980204,0.636751125275963,333999,0.34074437566057697,980204,1564297,0.6266099084764594,624146,980204,0.636751125275963,333999,0.3407443756605768
Monroe,43355,54749,0.791886609801092,18971,42478,0.446607655727671,21904,0.515655162672442,42478,56910,0.7464066069232119,18971,42478,0.4466076557276708,21904,0.5156551626724422
Nassau,47262,61292,0.771095738432422,10869,46607,0.233205312506705,34266,0.7352114489239809,46607,72223,0.645320742699694,10869,46607,0.233205312506705,34266,0.7352114489239814
Okaloosa,102675,135678,0.756754963958785,23780,100852,0.23579106016737397,71893,0.712856462935787,100855,150654,0.6694478739363043,23780,100852,0.235791060167374,71893,0.7128564629357871
Okeechobee,13859,20008,0.6926729308276689,3959,13653,0.28997289972899704,9356,0.6852706364901489,13653,22394,0.6096722336340091,3959,13653,0.2899728997289973,9356,0.6852706364901486
Orange,556134,776488,0.7162171211918279,329894,546263,0.603910570549351,195216,0.35736632354744896,546275,866460,0.6304676499780717,329894,546263,0.6039105705493508,195216,0.35736632354744874
Osceola,142700,196326,0.7268522763159241,85458,140206,0.609517424361297,50301,0.358764960130094,140206,239027,0.5865697180653232,85458,140206,0.609517424361297,50301,0.3587649601300943
Palm Beach,672607,901642,0.745980111840398,374673,662322,0.565696141755823,272402,0.411283333484317,662332,1020222,0.6492038007414073,374673,662322,0.5656961417558227,272402,0.4112833334843173
Pasco,244950,336040,0.728931079633377,90142,241131,0.3738299928254771,142101,0.5893103748584789,241139,393392,0.6129738276324888,90142,241131,0.37382999282547663,142101,0.5893103748584794
Pinellas,502113,648791,0.773921031580278,233701,492393,0.474622912998357,239201,0.485792852457285,492403,711462,0.6921002105523556,233701,492393,0.474622912998357,239201,0.4857928524572852
Polk,289068,407653,0.7091030852219901,117433,284311,0.413044166423388,157430,0.553724618463584,284314,471241,0.6033303553807924,117433,284311,0.4130441664233885,157430,0.5537246184635839
Putnam,33488,47423,0.706155241127723,10094,33117,0.304798139928134,22138,0.6684784249781078,33117,50692,0.6532983508245878,10094,33117,0.3047981399281336,22138,0.6684784249781079
