county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Monroe,45270,56910,0.7954665260938324,20976,45270,0.4633532140490391,23893,0.5277888226198365
Nassau,58550,72223,0.8106835772537834,15489,58550,0.2645431255337318,42388,0.7239624252775405
Okaloosa,0,150654,0.0,0,0,0.0,0,0.0
Okeechobee,13827,22394,0.6174421720103599,3846,13827,0.27815144282924714,9906,0.7164243870687784
Orange,638112,866460,0.7364586939962606,389425,638112,0.610276879293917,242037,0.37930175267037763
Osceola,142872,239027,0.5977232697561363,83996,142872,0.5879108572708438,57676,0.4036900162383112
Palm Beach,720504,1020222,0.7062227632809329,407822,720504,0.5660232281847152,308478,0.428141967289564
Pasco,294210,393392,0.7478799772237361,116567,294210,0.39620339213486966,174559,0.5933142993100167
Pinellas,550867,711462,0.7742746625961752,273969,550867,0.49734146354746245,271123,0.4921750622201003
Polk,0,471241,0.0,0,0,0.0,0,0.0
Putnam,35626,50692,0.7027933401720192,10401,35626,0.29194969965755346,24907,0.6991242351091899
Santa Rosa,79578,145810,0.5457650366915849,22635,79578,0.28443790997511875,55804,0.7012490889441806
Sarasota,265249,340092,0.7799330769321242,118215,265249,0.44567557276370506,145086,0.5469803844689329
Seminole,257644,335172,0.7686918955043978,131019,257644,0.5085272701867694,123710,0.4801586685504029
St. Johns,175374,210059,0.8348797242679438,63504,175374,0.36210612747613674,110081,0.6276928164950335
St. Lucie,164161,223640,0.7340413164013593,80848,164161,0.4924921266317822,82263,0.5011117135007706
Sumter,92460,105612,0.875468696739007,29326,92460,0.3171749945922561,62753,0.6787043045641359
Suwannee,14710,27728,0.5305106751298326,3637,14710,0.24724677090414685,10983,0.7466349422161794
Taylor,10088,12779,0.7894201424211598,2288,10088,0.2268041237113402,7725,0.765761300555115
Union,6241,7718,0.8086291785436641,1052,6241,0.16856273033167762,5130,0.82198365646531
Volusia,272424,398530,0.6835721275688154,120654,272424,0.4428904942295833,149157,0.5475178398378997
Wakulla,13309,22909,0.580950718058405,4107,13309,0.3085881734164851,9054,0.6802915320459839
Walton,32310,58057,0.5565220386861188,8714,32310,0.2696997833488084,23338,0.7223150727329001
Washington,0,17191,0.0,0,0,0.0,0,0.0
STATEWIDE,9928088,14441869,0.6874517418763458,4859556,9928088,0.48947551633305425,4983473,0.5019569729841235
