county,inperson CST,inperson DEM,inperson GRN,inperson LIB,inperson REP,inperson UNA,inperson Female,inperson Male,inperson Undesignated gender,inperson total,inperson AIAN,inperson Asian,inperson Black,inperson Multiracial,inperson NHPI,inperson Other,inperson Undesignated race,inperson White,bymail CST,bymail DEM,bymail GRN,bymail LIB,bymail REP,bymail UNA,bymail Female,bymail Male,bymail Undesignated gender,bymail total,bymail AIAN,bymail Asian,bymail Black,bymail Multiracial,bymail NHPI,bymail Other,bymail Undesignated race,bymail White,Asian,Black,AIAN,Multiracial,Other Race,NHPI,Undesignated Race,White,Latino,Not Latino,Undesignated Ethnicity,CST,DEM,GRN,LIB,REP,Unaffiliated,Female,Male,Undesignated Gender,Total Registered Voters
Scotland,5,4798,1,16,1825,2227,4928,3509,435,8872,520,38,3415,20,4,47,497,4331,0,788,0,2,207,329,738,519,69,1326,69,6,413,7,0,8,83,740,143,8435,1638,95,177,0,1616,9792,185,15319,6392,19,11189,8,71,4140,6469,11547,8998,1351,21896
Stanly,11,3842,2,47,10714,5087,9747,8366,1590,19703,25,74,1628,26,0,93,1743,16114,3,1221,3,6,1079,831,1630,1215,298,3143,4,38,242,7,1,33,341,2477,420,4354,84,78,428,1,4113,33219,465,33732,8500,41,9621,16,183,19923,12913,20624,18426,3647,42697
Stokes,5,2385,0,46,7564,3113,6939,6104,70,13113,16,15,545,33,0,66,951,11487,1,795,1,7,852,574,1272,946,12,2230,8,9,101,9,0,16,162,1925,49,1209,58,105,239,0,2497,27492,315,24958,6376,27,6308,6,167,16367,8774,16502,14953,194,31649
Surry,5,4545,2,39,10822,5342,10500,9005,1250,20755,16,38,689,32,1,234,1523,18222,1,2020,4,10,1407,1019,2450,1795,216,4461,2,9,193,6,0,41,278,3932,89,1758,53,115,910,1,4048,39692,1514,36380,8772,23,11367,18,175,20999,14084,23299,20219,3148,46666
Swain,0,1319,2,16,1167,1322,1972,1724,130,3826,504,10,27,8,1,18,183,3075,1,302,3,0,135,206,337,279,31,647,49,2,7,1,0,8,43,537,27,121,1546,31,98,1,551,7635,71,8448,1491,2,3367,7,52,2897,3685,5072,4532,406,10010
Transylvania,3,2664,7,46,4183,4356,5738,4903,618,11259,11,29,278,29,0,64,754,10094,1,1466,0,7,643,1478,1949,1430,216,3595,5,9,69,19,0,16,242,3235,69,829,49,114,242,0,1885,23224,209,19638,6565,8,6345,10,145,8619,11285,13253,11548,1611,26412
Tyrrell,1,434,0,3,159,279,442,379,55,876,2,6,230,3,0,5,55,575,0,50,0,0,10,14,43,26,5,74,0,0,26,0,0,0,6,42,17,693,7,6,37,0,176,1444,37,1581,762,2,1181,0,11,429,757,1174,1042,164,2380
Union,28,17089,24,314,34868,22730,37055,31851,6147,75053,189,1277,8314,323,2,1917,7460,55571,3,5906,11,69,4192,5713,8152,6261,1481,15894,46,550,1757,87,0,551,1889,11014,2905,19122,423,898,6025,4,18010,119681,6850,124078,36140,93,40192,70,979,68415,57319,80284,72284,14500,167068
Vance,3,8276,3,15,2231,2126,7099,4936,619,12654,15,27,6258,26,1,135,720,5472,1,1528,0,13,288,380,1203,879,128,2210,6,8,1050,9,0,30,152,955,87,14926,55,118,493,1,2147,11616,585,23040,5818,18,18196,7,85,4811,6326,15447,12212,1784,29443
Wake,146,121159,116,1691,79149,104875,151750,123084,32302,307136,629,8576,62386,2149,13,9481,37635,186267,35,64052,73,696,23608,57552,74929,59416,11671,146016,345,8147,15837,977,1,5636,13911,101162,27376,144710,1889,6714,31087,23,98313,481709,28982,526427,236412,449,290648,413,6160,188001,306150,378523,330552,82746,791821
Warren,1,4125,0,8,930,930,3276,2445,273,5994,254,14,3192,18,1,41,282,2192,0,838,0,3,159,225,657,504,64,1225,60,1,563,4,0,5,85,507,26,6660,547,51,125,1,809,5222,79,8892,4470,3,8601,0,45,2119,2673,6917,5817,707,13441
Washington,0,2434,0,3,563,633,2034,1482,117,3633,4,6,1785,4,0,12,139,1683,0,440,0,2,62,98,346,232,24,602,1,1,303,1,0,1,27,268,18,4043,11,23,57,0,467,3670,52,6670,1567,0,5182,0,20,1273,1814,4406,3532,351,8289
Watauga,5,5477,22,100,5862,7178,9127,7805,1712,18644,27,97,284,169,2,201,1920,15944,0,1920,5,13,897,1834,2513,1772,384,4669,3,28,55,36,0,50,429,4068,334,905,71,490,668,2,4367,38112,1082,33949,9918,21,11978,44,452,13225,19229,21946,19269,3734,44949
Wayne,9,13364,9,88,12814,6746,17572,13474,1984,33030,69,141,10464,128,0,602,2065,19561,2,3309,3,37,1427,1323,3254,2415,432,6101,7,73,2216,41,0,147,498,3119,479,24327,139,386,2709,0,6221,41222,2415,53300,19768,56,29837,34,402,25080,20074,38073,31619,5791,75483
Wilkes,4,2813,3,35,9648,3739,8122,7009,1111,16242,15,35,684,32,0,113,1140,14223,2,1456,1,15,1552,904,2116,1582,232,3930,2,13,159,11,0,26,227,3492,91,1623,48,136,522,0,2899,38192,744,35332,7435,21,8199,11,180,23306,11794,21347,19243,2921,43511
Wilson,9,11435,4,48,6252,4930,12581,9132,965,22678,38,74,9242,46,0,366,1221,11691,1,2232,2,5,722,834,2143,1455,198,3796,5,31,1320,13,0,80,270,2077,251,23057,105,215,1540,0,4389,27366,1419,38928,16576,36,27728,15,220,14028,14896,29749,23838,3336,56923
Yadkin,3,1118,1,26,6173,2195,4778,4194,544,9516,8,13,268,12,0,110,578,8527,5,574,1,5,809,528,1021,763,138,1922,4,8,91,4,0,38,175,1602,48,739,28,47,508,0,1940,21301,756,19165,4690,16,3543,11,123,13955,6963,11984,10965,1662,24611
Yancey,4,1889,2,20,2625,1905,3200,2900,345,6445,9,14,29,8,0,23,474,5888,0,698,0,2,325,387,746,579,87,1412,4,3,8,5,0,3,93,1296,27,79,21,29,62,0,965,12903,90,10497,3499,6,4436,4,61,5221,4358,6898,6364,824,14086
