"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"DAVIDSON",75264,105988,0.710118126580368,18109,74285,0.243777344012923,54317,0.731197415359763
"DAVIE",21917,29567,0.741265600162343,5270,21503,0.245082081570013,15602,0.72557317583593
"DUPLIN",20928,30187,0.693278563620101,8283,20760,0.398988439306358,12217,0.588487475915222
"DURHAM",156843,232732,0.673921076603132,121250,153599,0.789393160111719,28350,0.184571514137462
"EDGECOMBE",24961,38624,0.646256213753107,16224,24769,0.655012313779321,8261,0.333521740885785
"FORSYTH",179297,256367,0.699376284779242,94464,175809,0.53731037660188,75975,0.432145112024982
"FRANKLIN",30563,43559,0.701646043297596,12874,30019,0.42886172091009,16368,0.545254672041041
"GASTON",96792,142856,0.677549420395363,31177,95420,0.3267344372249,61798,0.647642003772794
"GATES",5420,8658,0.626010626010626,2385,5367,0.444382336500838,2874,0.535494689770822
"GRAHAM",4243,6436,0.659260410192666,768,4125,0.186181818181818,3283,0.795878787878788
"GRANVILLE",27481,38088,0.721513337534131,12909,27096,0.476417183348096,13591,0.501586950103336
"GREENE",8123,11457,0.70899886532251,3605,8064,0.447048611111111,4374,0.542410714285714
"GUILFORD",258714,365924,0.707015664454914,149248,254064,0.58744253416462,98062,0.385973612947919
"HALIFAX",25205,38850,0.648777348777349,15748,25069,0.628186206071243,9031,0.36024572180781
"HARNETT",46276,73561,0.629083345794647,16737,45603,0.367015327938951,27614,0.605530337916365
"HAYWOOD",30952,44384,0.697368421052632,10473,30307,0.345563731151219,18929,0.624575180651335
"HENDERSON",58606,82562,0.709842300331872,19827,57262,0.346250567566624,35809,0.625353637665467
"HERTFORD",10205,15275,0.668085106382979,6910,10142,0.681325182409781,3099,0.30556103332676
"HOKE",18289,32348,0.565382712996167,9726,18063,0.538448762664009,7760,0.429607484913912
"HYDE",2319,3432,0.675699300699301,965,2295,0.420479302832244,1288,0.561220043572985
"IREDELL",82961,117646,0.705174846573619,24734,81673,0.302841820430252,54754,0.670405152253499
"JACKSON",18872,29101,0.64850005154462,7713,18325,0.420900409276944,9870,0.538608458390177
"JOHNSTON",86334,122537,0.704554542709549,28362,85081,0.333352922509138,54372,0.639061600122236
"JONES",5159,7459,0.691647673950932,2065,5098,0.405060808160063,2974,0.583366025892507
"LEE",25212,35517,0.709857251457049,10469,24865,0.421033581339232,13712,0.551457872511562
"LENOIR",27008,39627,0.681555505084917,12634,26645,0.474160255207356,13613,0.5109026083693
"LINCOLN",40240,55853,0.720462643009328,9897,39674,0.249458083379543,28806,0.726067449715179
"MACON",17882,25770,0.693907644547924,4876,17470,0.279107040641099,12127,0.694161419576417
"MADISON",11379,16935,0.671922054915855,3926,11045,0.355454956994115,6783,0.614124038026256
"MARTIN",12012,17344,0.692573800738007,5846,11908,0.490930466913,5897,0.495213301981861
"MCDOWELL",19960,29466,0.677390891196633,4667,19631,0.237736233508227,14568,0.742091589832408
"MECKLENBURG",475593,711186,0.668732230386987,294562,465568,0.632693827754485,155518,0.334039281050244
"MITCHELL",8164,11392,0.716643258426966,1596,8016,0.199101796407186,6282,0.783682634730539
"MONTGOMERY",11618,16399,0.708457832794683,4150,11483,0.361403814334233,7130,0.620917878603153
"MOORE",49022,66146,0.741118132615729,16329,48174,0.338958774442645,30490,0.632914020010794
"NASH",47878,66787,0.716876038750056,23235,47304,0.491184677828513,23319,0.492960426179604
"NEW HANOVER",112533,170115,0.661511330570496,50979,110272,0.462302307022635,55344,0.501886244921648
"NORTHAMPTON",9892,14906,0.663625385750704,6144,9819,0.625725633974947,3582,0.364802933088909
"ONSLOW",57342,106447,0.538690615987299,17514,56562,0.309642516176939,37122,0.656306354089318
"ORANGE",82814,116793,0.709066468024625,59923,80884,0.740851095395876,18557,0.22942732802532
"PAMLICO",6904,9780,0.705930470347648,2448,6830,0.358418740849195,4258,0.623426061493411
"PASQUOTANK",17462,28677,0.608920040450535,8615,17237,0.4997969484249,8180,0.474560538376748
"PENDER",27991,40208,0.696154994031039,9354,27676,0.337982367394132,17639,0.637339210868623
"PERQUIMANS",6737,10193,0.660943784950456,2319,6658,0.348302793631721,4177,0.627365575247822
"PERSON",19736,26960,0.732047477744807,7833,19437,0.402994289242167,11185,0.575448886144981
"PITT",80865,122714,0.658971266522157,41824,79677,0.524919361923767,35691,0.447946082307316
"POLK",10998,16092,0.6834451901566,3735,10775,0.346635730858469,6768,0.628120649651972
"RANDOLPH",64839,93249,0.695331853424702,13194,64027,0.206069314507942,49430,0.772018054883096
"RICHMOND",19424,30682,0.633074766964344,8501,19217,0.442368736014987,10383,0.540302856845501
"ROBESON",41137,76044,0.54096312661091,19016,40581,0.468593676843843,20762,0.511618737832976
"ROCKINGHAM",42519,60742,0.699993414770669,14228,41929,0.339335543418636,26830,0.639891244723223
"ROWAN",64635,95251,0.678575553012567,19400,63727,0.304423556734194,42810,0.671771776484065
"RUTHERFORD",30477,45073,0.676169769041333,7512,30007,0.250341586963042,21871,0.728863265238111
"SAMPSON",26069,37853,0.688690460465485,10547,25778,0.409147334936768,14838,0.575607106835286
"SCOTLAND",13988,22983,0.608623765391811,7319,13829,0.529250126545665,6256,0.452382674090679
"STANLY",30095,40907,0.73569315765028,7094,29722,0.23867842002557,21964,0.738981226027858
"STOKES",22692,31352,0.723781576932891,4665,22352,0.208706156048676,17116,0.765748031496063
"SURRY",32360,45871,0.7054566065706,7488,31898,0.234748260079002,23671,0.742084143206471
"SWAIN",6202,10582,0.586089586089586,2196,6001,0.365939010164972,3565,0.594067655390768
"TRANSYLVANIA",17985,25563,0.703555920666588,6558,17567,0.373313599362441,10520,0.598850116696078
"TYRRELL",1749,2485,0.703822937625755,720,1723,0.417875798026698,975,0.565873476494486
"UNION",106341,151134,0.703620628051927,34337,104371,0.328989853503368,66707,0.639133475773922
"VANCE",20041,30293,0.661571980325488,12229,19855,0.615915386552506,7332,0.369277260135986
"WAKE",531248,705787,0.752703010965065,302736,518278,0.58411894774619,196082,0.378333635616407
"WARREN",9883,13732,0.719705796679289,6413,9773,0.656195641051878,3214,0.328865240970019
"WASHINGTON",6178,8784,0.70332422586521,3510,6139,0.571754357387197,2564,0.417657598957485
"WATAUGA",30243,46349,0.652505987184189,14138,29171,0.484659422028727,13697,0.469541668095026
"WAYNE",50945,76298,0.667710818107945,21770,50273,0.433035625484853,27540,0.547808963061683
"WILKES",31506,43035,0.732101777622865,6638,31037,0.21387376357251,23752,0.765280149498985
"WILSON",38273,56590,0.67632090475349,19663,37861,0.5193470853913,17531,0.46303584163123
"YADKIN",17730,24149,0.73419189200381,3160,17438,0.181213441908476,13880,0.795962839775204
"YANCEY",10182,13971,0.728795361820915,3196,9842,0.324730745783377,6385,0.648750254013412
"STATEWIDE",4768079,6924296,0.688601267190195,2189316,4682073,0.467595443300436,2362631,0.504612166448494
