county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Hertford,10604,15007,0.7066035849936696,7077,10590,0.668271954674221,3470,0.3276676109537299
Hoke,21918,33189,0.6603995299647474,11929,21879,0.5452260158142511,9601,0.43882261529320354
Hyde,2470,3171,0.7789340901923684,1035,2466,0.4197080291970803,1408,0.5709651257096513
Iredell,97547,130637,0.7467026952547899,32689,97335,0.33584013972363486,63510,0.6524888272461088
Jackson,20210,29622,0.6822631827695632,9221,20154,0.45752704177830705,10560,0.523965465912474
Johnston,0,142963,0.0,0,0,0.0,0,0.0
Jones,5488,7399,0.7417218543046358,2175,5484,0.3966083150984683,3267,0.5957330415754923
Lee,28851,38606,0.7473190695746775,12076,28804,0.4192473267601722,16388,0.568948757117067
Lenoir,28205,38421,0.7341037453475964,13494,28177,0.4789012315008695,14500,0.5146041097348901
Lincoln,48519,62436,0.7770997501441476,12934,48442,0.26699971099459147,35034,0.7232153916023285
Macon,16668,27200,0.6127941176470588,5472,16610,0.32944009632751353,10984,0.6612883804936786
Madison,13000,17228,0.7545855583933132,4878,12964,0.3762727553224314,7928,0.6115396482567109
Martin,11927,16481,0.7236818154238214,5716,11920,0.47953020134228186,6126,0.5139261744966444
McDowell,20799,29813,0.6976486767517526,5420,20767,0.26099099532912795,15135,0.7288005007945297
Mecklenburg,533220,791942,0.673306883584909,359432,531528,0.6762240183019521,165271,0.31093564214867325
Mitchell,8974,11107,0.8079589448095795,1852,8960,0.20669642857142856,7041,0.7858258928571429
Montgomery,7967,17021,0.4680688561189119,2743,7965,0.34438166980539864,5168,0.6488386691776522
Moore,57128,73961,0.7724070794067144,20481,57010,0.3592527626732152,35887,0.6294860550780564
Nash,49652,68482,0.7250372360620309,24913,49580,0.5024808390480032,24293,0.4899757966922146
New Hanover,120160,177124,0.6783947968654728,61157,119910,0.5100241848052707,57080,0.47602368442998916
Northampton,9090,13929,0.6525953047598535,5441,9085,0.5988992845349477,3607,0.3970280682443588
Onslow,63695,117125,0.543820704375667,22009,63579,0.34616775979490083,40194,0.6321898740150049
Orange,82481,112113,0.7356952360564787,62196,82230,0.756366289675301,19160,0.23300498601483643
Pamlico,7581,9769,0.7760262053434334,2699,7572,0.3564447966191231,4815,0.6358954041204438
Pasquotank,18858,28555,0.6604097355979688,9382,18809,0.4988037641554575,9213,0.4898187038120049
Pender,31737,44786,0.7086366275175278,11014,31693,0.347521534723756,20308,0.6407724103114253
Perquimans,0,9731,0.0,0,0,0.0,0,0.0
Person,19452,27755,0.7008466942893172,7884,19432,0.4057225195553726,11364,0.5848085631947303
Pitt,85746,123330,0.6952566285575286,46274,85550,0.5409000584453536,38198,0.4464991233196961
Polk,12278,16497,0.744256531490574,4485,12253,0.36603280829184687,7643,0.6237656084224271
Randolph,72888,94641,0.7701524709164105,15506,72788,0.213029620267077,56589,0.7774495796010331
Richmond,19128,29325,0.6522762148337596,7945,19110,0.4157509157509158,11021,0.5767137624280482
Robeson,43069,76444,0.5634058918947203,17713,43008,0.4118536086309524,25030,0.5819847470238095
Rockingham,47224,61706,0.7653064531812142,15766,47153,0.33435836532140056,30955,0.656479969461116
Rowan,69254,97198,0.7125043725179531,22076,69098,0.3194882630466873,46264,0.6695418101826391
Rutherford,34076,45882,0.7426877642648533,9049,34005,0.2661079253051022,24631,0.724334656668137
Sampson,26163,37798,0.6921794803957881,9980,26122,0.38205344154352655,15981,0.6117831712732562
Scotland,14649,22017,0.6653495026570377,7137,14632,0.4877665390924002,7399,0.5056724986331329
Stanly,28541,42851,0.6660521341392266,7061,28506,0.24770223812530695,21225,0.7445800884024416
Stokes,20055,31834,0.629986806559025,4522,20032,0.2257388178913738,15332,0.7653753993610224
Surry,33165,47007,0.7055332184568256,8106,33112,0.24480550857695096,24741,0.74719135056777
Swain,7043,10084,0.6984331614438715,2765,7026,0.39353828636493027,4152,0.5909479077711358
Transylvania,20310,26500,0.7664150943396226,8413,20253,0.41539525008640693,11578,0.5716683948057077
Tyrrell,1673,2376,0.7041245791245792,699,1670,0.418562874251497,960,0.5748502994011976
Union,0,167713,0.0,0,0,0.0,0,0.0
Vance,20973,29609,0.7083319261035496,12412,20948,0.5925147985487875,8385,0.40027687607408824
Wake,547412,794942,0.6886187923144078,357632,545701,0.6553625520202455,180729,0.33118685873766035
Warren,10224,13518,0.7563249001331558,6344,10207,0.6215342412070148,3739,0.3663172332712844
Washington,6193,8310,0.7452466907340554,3387,6191,0.5470844774672913,2778,0.4487158778872557
Watauga,31574,45101,0.7000731691093324,16822,31466,0.5346087840844086,14137,0.44927858641072904
Wayne,53825,76040,0.7078511309836928,23759,53756,0.441978569834065,29491,0.548608527420195
Wilkes,33675,43778,0.769221983644753,7290,33626,0.21679652649735323,26045,0.7745494557782668
Wilson,37172,57088,0.6511350896860987,19483,37122,0.5248370238672485,17355,0.46751252626474865
Yadkin,17336,24696,0.7019760285066408,3369,17307,0.19466111977812445,13790,0.7967874270526376
Yancey,10364,14160,0.7319209039548022,3506,10344,0.33894044856921884,6726,0.6502320185614849
STATEWIDE,4779445,7351956,0.6500916218758654,2398819,4768775,0.5030262488794291,2315372,0.4855276250190038
