county,ballotscast_2020,registered_2020,turnout_2020,beasley_2020,ncssvotes_2020,beasleypct_2020,newby_2020,newbypct_2020
Mecklenburg,414737,791942,0.5236961797707408,306691,414737,0.739483094105421,108046,0.260516905894579
Mitchell,6441,11107,0.5799045646889349,1643,6441,0.2550846141903431,4798,0.7449153858096569
Montgomery,9600,17021,0.5640091651489336,3419,9600,0.35614583333333333,6181,0.6438541666666666
Moore,45285,73961,0.6122821486999905,20304,45285,0.4483603842331898,24981,0.5516396157668102
Nash,36707,68482,0.536009462340469,25797,36707,0.7027814858201433,10910,0.29721851417985673
New Hanover,99274,177124,0.5604774056593121,40263,99274,0.4055744706569696,59011,0.5944255293430304
Northampton,9694,13929,0.6959580730849307,6097,9694,0.6289457396327626,3597,0.3710542603672375
Onslow,57568,117125,0.49150907150480255,23588,57568,0.4097415230683713,33980,0.5902584769316287
Orange,55191,112113,0.4922801102459126,39545,55191,0.7165117501041837,15646,0.28348824989581634
Pamlico,7374,9769,0.7548367284266557,2626,7374,0.3561160835367507,4748,0.6438839164632493
Pasquotank,18565,28555,0.6501488355804588,9769,18565,0.5262052248855373,8796,0.4737947751144627
Pender,26990,44786,0.6026436832938865,10135,26990,0.37550944794368285,16855,0.6244905520563172
Perquimans,3580,9731,0.36789641352378993,1643,3580,0.4589385474860335,1937,0.5410614525139665
Person,15219,27755,0.5483336335795352,8355,15219,0.5489848216045732,6864,0.45101517839542676
Pitt,66051,123330,0.5355631233276575,42443,66051,0.6425792190882803,23608,0.35742078091171975
Polk,2511,16497,0.15220949263502456,398,2511,0.15850258861011549,2113,0.8414974113898845
Randolph,59467,94641,0.6283428957851248,15725,59467,0.2644323742579918,43742,0.7355676257420082
Richmond,11348,29325,0.38697357203751065,6756,11348,0.5953471977440958,4592,0.4046528022559041
Robeson,33525,76444,0.4385563288158652,14381,33525,0.4289634601043997,19144,0.5710365398956003
Rockingham,35366,61706,0.5731371341522704,14900,35366,0.42130860148164906,20466,0.5786913985183509
Rowan,54855,97198,0.5643634642688121,20269,54855,0.3695014128156048,34586,0.6304985871843952
Rutherford,24115,45882,0.5255873763131511,5015,24115,0.20796184947128343,19100,0.7920381505287165
Sampson,22102,37798,0.5847399333298058,10145,22102,0.4590082345489096,11957,0.5409917654510904
Scotland,8231,22017,0.3738474814915747,1907,8231,0.2316850929413194,6324,0.7683149070586806
Stanly,26913,42851,0.6280600219364776,6828,26913,0.2537063872477985,20085,0.7462936127522015
Stokes,24038,31834,0.7551046051391593,5657,24038,0.23533571844579415,18381,0.7646642815542058
Surry,26431,47007,0.5622779586019103,9581,26431,0.3624910143392229,16850,0.6375089856607771
Swain,6220,10084,0.6168187227290758,2336,6220,0.37556270096463024,3884,0.6244372990353698
Transylvania,17304,26500,0.6529811320754717,7759,17304,0.4483934350439205,9545,0.5516065649560795
Tyrrell,1075,2376,0.4524410774410774,155,1075,0.14418604651162792,920,0.8558139534883721
Union,107424,167713,0.6405227978749412,41792,107424,0.3890378313970807,65632,0.6109621686029193
Vance,13931,29609,0.47049883481373905,10128,13931,0.7270117005240112,3803,0.2729882994759888
Wake,534957,794942,0.6729509825874089,343155,534957,0.64146277177418,191802,0.35853722822582
Warren,8066,13518,0.5966859002811067,4605,8066,0.5709149516488966,3461,0.4290850483511034
Washington,5370,8310,0.6462093862815884,2755,5370,0.5130353817504656,2615,0.48696461824953446
Watauga,21240,45101,0.4709429946120929,11870,21240,0.5588512241054614,9370,0.4411487758945386
Wayne,48255,76040,0.6346002104155708,19524,48255,0.4046005595275101,28731,0.5953994404724899
Wilkes,31246,43778,0.713737493718306,8045,31246,0.25747295653843694,23201,0.7425270434615631
Wilson,27668,57088,0.484655269058296,17030,27668,0.6155125054214254,10638,0.3844874945785745
Yadkin,17636,24696,0.7141237447359896,2976,17636,0.1687457473349966,14660,0.8312542526650034
Yancey,8120,14160,0.5734463276836158,3464,8120,0.4266009852216749,4656,0.5733990147783251
STATEWIDE,4323863,7351956,0.588124167228422,2220791,4323863,0.513612711596089,2103072,0.48638728840391104
